Prezzi_Originali_puliti,,,,,,,,
,Reference,Collection,Description,Price,Complication,inventory,Detail,Size
,116900,Air King,Standard Dial,6180.0,,1,"The Rolex Air King 116900 is a self-winding automatic watch with a 40mm stainless steel case, black dial, and stainless steel Oyster bracelet. It is renowned for its aviation-inspired design, precision timekeeping, and iconic style, celebrating Rolex's history in aviation.",40
,116500LN,Cosmograph Daytona,Standard Dial,12600.0,"Chronograph, Small Seconds, Stop Seconds",2,"The Rolex Cosmograph Daytona 116500LN features a 40mm stainless steel case, black dial, and Cerachrom bezel with tachymetric scale. It is celebrated for its chronograph functions, sporty elegance, and embodiment of motorsport spirit.",40
,116503,Cosmograph Daytona,Standard Dial,16800.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116503 combines 18k yellow gold and stainless steel, with a 40mm case and various dial options. Known for its luxurious appeal and precise chronograph functions, it is a symbol of luxury and high performance.",40
,116503,Cosmograph Daytona,Diamond Dial,18720.0,"Chronograph, Small Seconds",2,"The Rolex Cosmograph Daytona 116503 combines 18k yellow gold and stainless steel, with a 40mm case and various dial options. Known for its luxurious appeal and precise chronograph functions, it is a symbol of luxury and high performance.",40
,116503,Cosmograph Daytona,Mother of Pearl Diamond Dial,21360.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116503 combines 18k yellow gold and stainless steel, with a 40mm case and various dial options. Known for its luxurious appeal and precise chronograph functions, it is a symbol of luxury and high performance.",40
,116505,Cosmograph Daytona,Standard Dial,37860.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116505 features a 40mm 18k Everose gold case, black dial, and Everose gold Oyster bracelet. It includes chronograph functions and is known for its luxurious and sporty design.",40
,116505,Cosmograph Daytona,Diamond Dial,43920.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116505 features a 40mm 18k Everose gold case, black dial, and Everose gold Oyster bracelet. It includes chronograph functions and is known for its luxurious and sporty design.",40
,116506,Cosmograph Daytona,Standard Dial,72780.0,"Chronograph, Small Seconds, Stop Seconds",0,"The Rolex Cosmograph Daytona 116506 boasts a 40mm 950 platinum case, ice blue dial, and platinum Oyster bracelet. Renowned for its rarity and exclusivity, it is a symbol of ultimate luxury.",40
,116506,Cosmograph Daytona,Diamond Dial,78840.0,"Chronograph, Small Seconds, Stop Seconds",2,"The Rolex Cosmograph Daytona 116506 boasts a 40mm 950 platinum case, ice blue dial, and platinum Oyster bracelet. Renowned for its rarity and exclusivity, it is a symbol of ultimate luxury.",40
,116508,Cosmograph Daytona,Standard Dial,35220.0,"Chronograph, Small Seconds, Stop Seconds",0,"The Rolex Cosmograph Daytona 116508 comes with a 40mm 18k yellow gold case, green dial, and yellow gold Oyster bracelet. Celebrated for its vibrant dial and prestigious look, it is a favorite among collectors.",40
,116508,Cosmograph Daytona,Diamond Dial,37140.0,"Chronograph, Small Seconds, Stop Seconds",0,"The Rolex Cosmograph Daytona 116508 comes with a 40mm 18k yellow gold case, green dial, and yellow gold Oyster bracelet. Celebrated for its vibrant dial and prestigious look, it is a favorite among collectors.",40
,116508,Cosmograph Daytona,Mother of Pearl Diamond Dial,39780.0,"Chronograph, Small Seconds, Stop Seconds",0,"The Rolex Cosmograph Daytona 116508 comes with a 40mm 18k yellow gold case, green dial, and yellow gold Oyster bracelet. Celebrated for its vibrant dial and prestigious look, it is a favorite among collectors.",40
,116509,Cosmograph Daytona,Standard Dial,37860.0,"Chronograph, Small Seconds",3,"The Rolex Cosmograph Daytona 116509 has a 40mm 18k white gold case, blue dial, and white gold Oyster bracelet. Known for its refined elegance and precise chronograph functions, it is a symbol of luxury and performance.",40
,116509,Cosmograph Daytona,Mother of Pearl Diamond Dial,42420.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116509 has a 40mm 18k white gold case, blue dial, and white gold Oyster bracelet. Known for its refined elegance and precise chronograph functions, it is a symbol of luxury and performance.",40
,116509,Cosmograph Daytona,Diamond Dial,39780.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116509 has a 40mm 18k white gold case, blue dial, and white gold Oyster bracelet. Known for its refined elegance and precise chronograph functions, it is a symbol of luxury and performance.",40
,116515LN,Cosmograph Daytona,Standard Dial,28560.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116515LN features a 40mm Everose gold case, black ceramic bezel, and black dial with pink subdials. It comes with an Oysterflex bracelet and is known for its sporty yet luxurious appeal.",40
,116515LN,Cosmograph Daytona,Diamond Dial,34620.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116515LN features a 40mm Everose gold case, black ceramic bezel, and black dial with pink subdials. It comes with an Oysterflex bracelet and is known for its sporty yet luxurious appeal.",40
,116518LN,Cosmograph Daytona,Standard Dial,27420.0,"Chronograph, Small Seconds",2,"The Rolex Cosmograph Daytona 116518LN has a 40mm yellow gold case, black ceramic bezel, and champagne dial. It is paired with an Oysterflex bracelet and is celebrated for its combination of elegance and functionality.",40
,116518LN,Cosmograph Daytona,Diamond Dial,29340.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116518LN has a 40mm yellow gold case, black ceramic bezel, and champagne dial. It is paired with an Oysterflex bracelet and is celebrated for its combination of elegance and functionality.",40
,116518LN,Cosmograph Daytona,Mother of Peal Diamond Dial,31980.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116518LN has a 40mm yellow gold case, black ceramic bezel, and champagne dial. It is paired with an Oysterflex bracelet and is celebrated for its combination of elegance and functionality.",40
,116595RBOW,Cosmograph Daytona,Standard Diamond Dial,110520.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116595RBOW, also known as the ""Rainbow Daytona,"" boasts a 40mm Everose gold case adorned with multicolored sapphires on the bezel and dial. It is a limited edition piece renowned for its vibrant and unique design.",40
,116595RBOW,Cosmograph Daytona,Pave Diamond Dial,127560.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116595RBOW, also known as the ""Rainbow Daytona,"" boasts a 40mm Everose gold case adorned with multicolored sapphires on the bezel and dial. It is a limited edition piece renowned for its vibrant and unique design.",40
,116595RBOW,Cosmograph Daytona,Pave Diamond Dial Diamond Bracelet,209520.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116595RBOW, also known as the ""Rainbow Daytona,"" boasts a 40mm Everose gold case adorned with multicolored sapphires on the bezel and dial. It is a limited edition piece renowned for its vibrant and unique design.",40
,116519LN,Cosmograph Daytona,Standard Dial,28560.0,"Chronograph, Small Seconds",2,"The Rolex Cosmograph Daytona 116519LN features a 40mm white gold case, black ceramic bezel, and grey dial with black subdials. It is fitted with an Oysterflex bracelet and is known for its sophisticated and modern look.",40
,116519LN,Cosmograph Daytona,Diamond Dial,30480.0,"Chronograph, Small Seconds",1,"The Rolex Cosmograph Daytona 116519LN features a 40mm white gold case, black ceramic bezel, and grey dial with black subdials. It is fitted with an Oysterflex bracelet and is known for its sophisticated and modern look.",40
,116519LN,Cosmograph Daytona,Mother of Pearl Diamond Dial,33120.0,"Chronograph, Small Seconds",2,"The Rolex Cosmograph Daytona 116519LN features a 40mm white gold case, black ceramic bezel, and grey dial with black subdials. It is fitted with an Oysterflex bracelet and is known for its sophisticated and modern look.",40
,116578SACO,Cosmograph Daytona,Mother of Pearl Diamond Dial,75540.0,"Chronograph, Small Seconds, Stop Seconds",2,The Rolex Cosmograph Daytona 116578SACO includes a 40mm yellow gold case with a diamond-paved dial and orange sapphire-set bezel. It is a luxurious timepiece celebrated for its opulence and exquisite craftsmanship.,40
,116588SACO,Cosmograph Daytona,Diamond Dial,68700.0,"Chronograph, Small Seconds",0,"The Rolex Cosmograph Daytona 116588SACO features a 40mm yellow gold case, diamond-paved dial, and a black and orange sapphire-set bezel. It is known for its distinctive and lavish design.",40
,116588TBR,Cosmograph Daytona,Pave Diamond Dial,102240.0,"Chronograph, Small Seconds, Stop Seconds",0,"The Rolex Cosmograph Daytona 116588TBR has a 40mm yellow gold case, diamond-paved dial, and a diamond-set bezel. It is a luxurious and high-end model celebrated for its brilliance and elegance.",40
,116200,Datejust,Standard Dial Oyster Bracelet,6600.0,"Date, Stop Seconds",0,"The Rolex Datejust 116200 features a 36mm stainless steel case, smooth bezel, and a variety of dial options. It is known for its classic design and reliable performance, making it a staple in the Rolex lineup.",36
,116234,Datejust,Diamond Dial Jubilee Bracelet,9240.0,"Date, Stop Seconds",0,"The Rolex Datejust 116234 includes a 36mm stainless steel case, white gold fluted bezel, and a range of dial choices. It is celebrated for its timeless elegance and versatility.",36
